"Navigate","Quick Outline","Ctrl+O","Editing Java Source"
"Source","Add Block Comment","Ctrl+Shift+/","Editing Java Source"
"Run/Debug","Use Step Filters","Shift+F5","In Windows"
"Text Editing","Expand","Ctrl+Numpad_Add","Editing Text"
"Source","Toggle Comment","Ctrl+/","Editing Properties Files"
"Run/Debug","Execute","Ctrl+U","In Windows"
"Source","Format","Ctrl+Shift+F","Editing Ant Buildfiles"
"Navigate","Go to Previous Member","Ctrl+Shift+Up","Editing Java Source"
"Navigate","Expand All","Ctrl+Shift+Numpad_Multiply","In Windows"
"Text Editing","Previous Word","Ctrl+Left","Editing Text"
"Text Editing","Expand All","Ctrl+Numpad_Multiply","Editing Text"
"Navigate","Open Resource","Ctrl+Shift+R","In Windows"
"Edit","Add Block Comment","Ctrl+Shift+/","Editing in Structured Text Editors"
"Run/Debug","Debug OSGi Framework","Alt+Shift+D, O","In Windows"
"Source","Remove Occurrence Annotations","Alt+Shift+U","Editing Java Source"
"Run/Debug","Run Eclipse Application","Alt+Shift+X, E","In Windows"
"Source","Correct Indentation","Ctrl+I","Editing Java Source"
"Run/Debug","Previous Page of Memory","Ctrl+Shift+,","In Table Memory Rendering"
"Edit","Context Information","Ctrl+Shift+Space","In Dialogs and Windows"
"File","Save","Ctrl+S","In Windows"
"Navigate","Open Type in Hierarchy","Ctrl+Shift+H","In Windows"
"Edit","Quick Diff Toggle","Ctrl+Shift+Q","Editing Text"
"Navigate","Show In Breadcrumb","Alt+Shift+B","Editor Breadcrumb Navigation"
"Navigate","Go to Next Member","Ctrl+Shift+Down","Editing Java Source"
"Text Editing","Select Line Start","Shift+Home","Editing Text"
"Views","Show View (Package Explorer)","Alt+Shift+Q, P","In Windows"
"Run/Debug","Debug","F11","In Windows"
"Edit","Toggle Block Selection","Alt+Shift+A","Editing Text"
"Text Editing","Duplicate Lines","Ctrl+Alt+Up","Editing Text"
"Edit","Toggle Insert Mode","Ctrl+Shift+Insert","Editing Text"
"Run/Debug","Run","Ctrl+F11","In Windows"
"Text Editing","Show Tooltip Description","F2","Editing Text"
"Search","Open Search Dialog","Ctrl+H","In Windows"
"Window","Show Contributing Plug-in","Alt+Shift+F3","In Dialogs and Windows"
"Search","Declaration in Workspace","Ctrl+G","In Windows"
"Navigate","Open Type","Ctrl+Shift+T","In Windows"
"Edit","Find and Replace","Ctrl+F","In Windows"
"Text Editing","Line Down","Ctrl+J","In Dialogs and Windows"
"Run/Debug","Run Android Application","Alt+Shift+A, R","In Windows"
"File","Rename","F2","In Windows"
"Source","Clean Up","Alt+F1","In Windows"
"Window","Show Ruler Context Menu","Ctrl+F10","Editing Text"
"Text Editing","Insert Line Above Current Line","Ctrl+Shift+Enter","Editing Text"
"Run/Debug","Step Return","F7","Debugging"
"Android Refactorings","Extract Android String","Alt+Shift+A, S","In Windows"
"Run/Debug","Inspect","Ctrl+Shift+I","In Dialogs and Windows"
"File","New","Ctrl+N","In Windows"
"Views","Show View (Type Hierarchy)","Alt+Shift+Q, T","In Windows"
"Source","Toggle Comment","Ctrl+7","Editing Java Source"
"Project","Build All","Ctrl+B","In Windows"
"Views","Show View (Problems)","Alt+Shift+Q, X","In Windows"
"Git","Copy Path to Clipboard","Ctrl+C","In Git Repositories View"
"Edit","Open Selection","F3","Editing in Structured Text Editors"
"Views","Show View (Console)","Alt+Shift+Q, C","In Windows"
"Edit","Select Enclosing Element","Alt+Shift+Up","Editing Java Source"
"Views","Show View (Variables)","Alt+Shift+Q, V","In Windows"
"Window","Previous View","Ctrl+Shift+F7","In Windows"
"Run/Debug","Run Java Application","Alt+Shift+X, J","In Windows"
"File","Save All","Ctrl+Shift+S","In Windows"
"Window","Previous Perspective","Ctrl+Shift+F8","In Windows"
"Run/Debug","Debug Java Application","Alt+Shift+D, J","In Windows"
"Text Editing","Toggle Folding","Ctrl+Numpad_Divide","Editing Text"
"Text Editing","Delete to End of Line","Ctrl+Shift+Delete","Editing Text"
"Navigate","Next Sub-Tab","Alt+PageDown","In Dialogs and Windows"
"Window","Activate Editor","F12","In Windows"
"Run/Debug","Force Return","Alt+Shift+F","In Windows"
"Window","Show Key Assist","Ctrl+Shift+L","In Dialogs and Windows"
"Navigate","Last Edit Location","Ctrl+Q","In Windows"
"Navigate","Previous Page","Alt+Shift+F7","In Windows"
"Spy","Plug-in Selection Spy","Alt+Shift+F1","In Dialogs and Windows"
"Window","Quick Switch Editor","Ctrl+E","In Windows"
"Edit","Remove Block Comment","Ctrl+Shift+\","Editing in Structured Text Editors"
"Text Editing","Move Lines Up","Alt+Up","Editing Text"
"Window","Previous Editor","Ctrl+Shift+F6","In Windows"
"Uncategorized","Copy SHA-1","Ctrl+C","In Git Reflog View"
"Edit","Select All","Ctrl+A","In Dialogs and Windows"
"Run/Debug","Debug Java Applet","Alt+Shift+D, A","In Windows"
"Edit","Cut","Ctrl+X","In Dialogs and Windows"
"Views","Show View","Alt+Shift+Q, Q","In Windows"
"Navigate","Open Call Hierarchy","Ctrl+Alt+H","In Windows"
"Text Editing","Delete Next Word","Ctrl+Delete","Editing Text"
"Text Editing","Line End","End","Editing Text"
"Run/Debug","Add Memory Block","Ctrl+Alt+M","In Memory View"
"Window","Next Editor","Ctrl+F6","In Windows"
